open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-09-29,993.01,1036.0,991.12,1029.79,291982.5,2025-09-29 23:59:59.999,295253054.46815,1569259,152387.587,154108704.62624,0
2025-09-30,1029.79,1034.01,992.93,1008.51,258830.971,2025-09-30 23:59:59.999,261981911.10553,1437959,125550.314,127115998.78195,0
2025-10-01,1008.51,1036.2,1003.35,1026.5,269007.811,2025-10-01 23:59:59.999,274516783.81454,1361838,134619.181,137409284.13043,0
2025-10-02,1026.5,1099.22,1022.01,1090.22,380679.445,2025-10-02 23:59:59.999,401900249.30658,1876448,206307.66,217870288.54631,0
2025-10-03,1090.22,1192.42,1083.84,1189.4,744996.7206,2025-10-03 23:59:59.999,842965061.361557,3184974,382953.0906,433406447.509357,0
2025-10-04,1189.4,1190.47,1134.93,1150.75,337438.509,2025-10-04 23:59:59.999,390930674.94389,1735291,168230.68,194923733.44062,0
2025-10-05,1150.75,1189.0,1143.14,1167.38,306730.178,2025-10-05 23:59:59.999,357420641.03322,1748354,156620.124,182505689.04852,0
2025-10-06,1167.38,1239.94,1161.85,1223.19,587477.5601,2025-10-06 23:59:59.999,711781233.380627,2594739,322533.0891,390607090.402837,0
2025-10-07,1223.17,1349.99,1204.61,1304.43,1351678.4887,2025-10-07 23:59:59.999,1737403256.538668,5035273,692309.3967,889580569.553248,0
2025-10-08,1304.43,1334.19,1264.32,1307.4,826555.123,2025-10-08 23:59:59.999,1076913281.89229,3491480,400565.316,522191363.78719,0
2025-10-09,1307.4,1320.0,1224.38,1255.35,925627.604,2025-10-09 23:59:59.999,1178510754.12517,3147403,461892.518,588360855.32562,0
2025-10-10,1255.35,1278.52,860.11,1102.47,1505025.673,2025-10-10 23:59:59.999,1738588911.96338,4860775,711133.822,823393500.64635,0
2025-10-11,1102.57,1182.76,1073.0,1135.07,1050905.245,2025-10-11 23:59:59.999,1181376420.04246,4839241,519123.14,583886221.52459,0
