open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-09-29,106.88,107.66,105.3,106.76,268037.084,2025-09-29 23:59:59.999,28525727.53433,188254,133728.553,14236921.53219,0
2025-09-30,106.76,107.61,103.84,106.88,274575.895,2025-09-30 23:59:59.999,29068908.91084,199983,126169.075,13360801.88544,0
2025-10-01,106.87,115.34,105.39,115.1,561526.624,2025-10-01 23:59:59.999,62095791.87439,367281,291325.067,32240818.87353,0
2025-10-02,115.11,122.71,115.11,119.54,1140711.459,2025-10-02 23:59:59.999,136179934.75041,757921,567889.371,67816814.10675,0
2025-10-03,119.54,124.86,115.79,120.56,879533.808,2025-10-03 23:59:59.999,105665860.46314,508738,413642.687,49695471.44706,0
2025-10-04,120.57,121.0,117.42,120.51,290698.143,2025-10-04 23:59:59.999,34592567.20652,253180,138831.117,16522955.10193,0
2025-10-05,120.5,124.17,118.35,118.85,507015.733,2025-10-05 23:59:59.999,61403955.15963,415269,243253.38,29483482.73645,0
2025-10-06,118.85,121.47,118.1,118.32,464570.491,2025-10-06 23:59:59.999,55686990.6924,340072,226887.0,27212135.87888,0
2025-10-07,118.32,119.27,115.16,116.91,422674.282,2025-10-07 23:59:59.999,49597391.89694,376213,189433.078,22241276.04329,0
2025-10-08,116.91,119.6,115.34,118.6,349258.487,2025-10-08 23:59:59.999,40974150.93128,303164,174835.797,20516487.49853,0
2025-10-09,118.61,128.2,115.44,125.9,916537.15,2025-10-09 23:59:59.999,110483118.03966,640938,473758.402,57217536.96446,0
2025-10-10,125.9,135.99,52.71,96.88,4389823.156,2025-10-10 23:59:59.999,497966415.89801,2443470,2154015.377,244620730.55136,0
2025-10-11,96.87,102.77,90.05,93.34,2392845.063,2025-10-11 23:59:59.999,232713670.54737,1072053,1128723.216,109665018.3799,0
2025-10-12,93.35,102.16,91.61,98.98,1264382.696,2025-10-12 23:59:59.999,122693147.02853,649800,683086.699,66314237.02843,0
2025-10-13,98.97,101.34,94.81,99.45,1325856.9,2025-10-13 23:59:59.999,129968277.14482,616173,680316.485,66748368.29213,0
2025-10-14,99.46,100.55,91.12,97.33,1285594.754,2025-10-14 23:59:59.999,122576140.11826,604820,641219.801,61126932.46685,0
2025-10-15,97.33,99.97,93.36,95.5,674590.453,2025-10-15 23:59:59.999,65063252.61215,345566,312482.885,30153741.69778,0
2025-10-16,95.5,96.96,89.59,91.79,846143.65,2025-10-16 23:59:59.999,79016025.29418,442959,393582.565,36772169.91296,0
2025-10-17,91.79,93.14,83.36,90.12,1099055.861,2025-10-17 23:59:59.999,96787701.16983,513459,577114.247,50857524.55753,0
2025-10-18,90.11,92.24,89.88,91.69,322080.334,2025-10-18 23:59:59.999,29318382.17425,179372,163941.31,14923666.73477,0
2025-10-19,91.69,94.78,90.72,93.33,356712.683,2025-10-19 23:59:59.999,33168251.18575,220232,181244.573,16863280.35539,0
2025-10-20,93.33,95.79,92.24,94.01,381476.736,2025-10-20 23:59:59.999,36080985.0185,240837,191719.124,18135878.01201,0
2025-10-21,94.0,96.94,91.62,92.46,597066.665,2025-10-21 23:59:59.999,56356543.75748,350263,281306.224,26591926.0813,0
2025-10-22,92.45,94.97,89.91,91.88,613128.16,2025-10-22 23:59:59.999,56742950.61185,332796,291775.843,27018194.571,0
2025-10-23,91.88,94.79,91.79,94.04,338092.586,2025-10-23 23:59:59.999,31584628.45254,207701,169978.883,15875194.37524,0
2025-10-24,94.04,97.45,93.93,96.45,437003.74,2025-10-24 23:59:59.999,41851522.87232,230425,224381.003,21492408.81353,0
2025-10-25,96.44,97.07,95.67,96.97,178797.931,2025-10-25 23:59:59.999,17237752.44629,123955,91717.17,8846029.83615,0
2025-10-26,96.96,101.02,96.34,100.02,337315.117,2025-10-26 23:59:59.999,33324867.4588,188853,175406.166,17322365.75963,0
