open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-09-29,210.83,214.74,204.58,212.75,3213098.851,2025-09-29 23:59:59.999,674793150.7918,1908731,1700434.727,357305588.43003,0
2025-09-30,212.74,213.67,204.29,208.68,3264781.485,2025-09-30 23:59:59.999,679647220.11924,1922286,1629038.204,338974705.59483,0
2025-10-01,208.68,222.77,206.31,222.04,4050260.921,2025-10-01 23:59:59.999,873666054.98369,2119007,2112500.76,455862509.31609,0
2025-10-02,222.04,234.99,219.52,234.74,4590696.388,2025-10-02 23:59:59.999,1041743948.15148,2550516,2430897.772,552207693.25385,0
2025-10-03,234.74,237.0,227.13,232.84,4216611.614,2025-10-03 23:59:59.999,977118748.09201,2632758,1989446.56,461370463.20301,0
2025-10-04,232.84,234.05,224.07,227.86,1841410.605,2025-10-04 23:59:59.999,420089668.09435,1292594,848007.567,193529628.25844,0
2025-10-05,227.86,237.22,226.45,228.56,3099633.526,2025-10-05 23:59:59.999,718004023.22144,2035300,1591307.851,368654749.8226,0
2025-10-06,228.56,237.79,227.55,232.35,2981928.375,2025-10-06 23:59:59.999,696237930.30736,2186112,1415486.181,330542794.7619,0
2025-10-07,232.35,235.21,219.7,219.97,4401045.757,2025-10-07 23:59:59.999,999073406.40618,2553696,1883971.589,427720717.77175,0
2025-10-08,219.98,229.72,217.3,229.02,3103760.645,2025-10-08 23:59:59.999,692169444.64124,2154720,1521159.511,339467389.20357,0
2025-10-09,229.03,229.69,216.53,220.93,3272953.431,2025-10-09 23:59:59.999,728443051.98444,2359051,1555362.983,346194074.20143,0
2025-10-10,220.93,224.46,168.79,188.43,9622835.429,2025-10-10 23:59:59.999,1933764147.70444,5852243,4390741.937,881580460.66153,0
2025-10-11,188.43,191.05,172.58,177.62,7292387.248,2025-10-11 23:59:59.999,1336674581.83677,6001725,3467397.907,636071998.87581,0
