open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2025-09-29,2.8675,2.9289,2.8454,2.8801,116473375.3,2025-09-29 23:59:59.999,335494346.18332,1257275,57294284.5,165095180.31208,0
2025-09-30,2.8801,2.9077,2.8132,2.8468,100392419.7,2025-09-30 23:59:59.999,286480582.91276,1133168,42580565.9,121571161.20038,0
2025-10-01,2.8468,2.9616,2.8141,2.9485,136262408.8,2025-10-01 23:59:59.999,396809364.15718,1262169,70373291.9,204831825.38191,0
2025-10-02,2.9485,3.0998,2.9403,3.0389,147074551.6,2025-10-02 23:59:59.999,442317543.96961,1585511,74839932.3,225030174.69344,0
2025-10-03,3.0388,3.0948,3.0041,3.0401,125739506.7,2025-10-03 23:59:59.999,382280908.83134,1429215,60214628.3,183053328.29593,0
2025-10-04,3.0402,3.0522,2.939,2.9685,69429980.8,2025-10-04 23:59:59.999,207321266.10311,844016,32771872.7,97848957.69816,0
2025-10-05,2.9685,3.0716,2.9468,2.9697,105898711.4,2025-10-05 23:59:59.999,318245690.32152,1212008,52769860.1,158504969.47079,0
2025-10-06,2.9697,3.0506,2.9551,2.9883,117186503.0,2025-10-06 23:59:59.999,352104152.38073,1227468,60607868.9,182045859.24951,0
2025-10-07,2.9883,3.0012,2.8489,2.852,151704976.6,2025-10-07 23:59:59.999,443920050.41119,1413360,75599051.5,221427746.40722,0
2025-10-08,2.8521,2.9248,2.8303,2.8797,86103907.0,2025-10-08 23:59:59.999,247518098.06655,1139180,40460511.9,116329038.35237,0
2025-10-09,2.8797,2.8801,2.7714,2.8021,110236912.9,2025-10-09 23:59:59.999,310379763.91407,1340461,52779790.3,148678400.52464,0
2025-10-10,2.8021,2.8372,1.2543,2.3704,592833224.7,2025-10-10 23:59:59.999,1416016000.51225,4493544,274426458.2,660148032.76122,0
2025-10-11,2.3704,2.5061,2.3,2.3819,377516588.0,2025-10-11 23:59:59.999,909770588.80687,4338405,187154494.8,450782832.32248,0
2025-10-12,2.3819,2.5841,2.3121,2.5282,248265523.1,2025-10-12 23:59:59.999,607237964.21932,3072544,125627671.2,307204486.93711,0
2025-10-13,2.5283,2.646,2.5125,2.6052,215844073.7,2025-10-13 23:59:59.999,558246044.00344,2535110,105285638.8,272269751.72452,0
2025-10-14,2.6052,2.6208,2.3888,2.5033,236417459.6,2025-10-14 23:59:59.999,587762059.79276,2440380,118809172.2,295247968.87999,0
2025-10-15,2.5033,2.5475,2.3754,2.4109,147593411.2,2025-10-15 23:59:59.999,363905099.1024,1641249,79514191.8,196180103.68505,0
2025-10-16,2.411,2.4665,2.2833,2.328,196447886.3,2025-10-16 23:59:59.999,467212723.60674,2350217,97981688.1,233128494.57366,0
2025-10-17,2.328,2.4,2.1901,2.2936,233638133.0,2025-10-17 23:59:59.999,533049692.5888,2897858,119220056.7,272073937.51893,0
2025-10-18,2.2936,2.3915,2.2894,2.3596,70031265.2,2025-10-18 23:59:59.999,164699862.1112,901192,34130742.8,80245848.32378,0
2025-10-19,2.3596,2.4195,2.3177,2.3908,86051004.0,2025-10-19 23:59:59.999,204746942.77784,1047632,41010544.8,97555751.75646,0
2025-10-20,2.3907,2.5529,2.3547,2.4948,132020692.3,2025-10-20 23:59:59.999,325043707.31512,1472709,67423216.5,165941272.12609,0
2025-10-21,2.4948,2.5323,2.4011,2.4222,142161412.2,2025-10-21 23:59:59.999,349446603.8966,1680158,73943199.1,181570619.16634,0
2025-10-22,2.4221,2.4375,2.3255,2.3647,131694103.3,2025-10-22 23:59:59.999,314639214.69154,1616003,65292116.1,156074216.80229,0
2025-10-23,2.3647,2.4259,2.3617,2.3947,84337201.1,2025-10-23 23:59:59.999,202214305.62803,864950,38067141.9,91266707.03713,0
2025-10-24,2.3948,2.516,2.3863,2.5103,112051925.0,2025-10-24 23:59:59.999,276766703.76931,1167079,51639778.8,127594493.96124,0
2025-10-25,2.5103,2.6542,2.5021,2.5959,95829560.4,2025-10-25 23:59:59.999,246949699.35457,1225540,48861644.0,125947778.18104,0
2025-10-26,2.5958,2.6624,2.592,2.6461,83681116.7,2025-10-26 23:59:59.999,220148409.4358,1130464,41676057.4,109664973.64201,0
2025-10-27,2.646,2.6975,2.6013,2.634,113960332.0,2025-10-27 23:59:59.999,301816650.99461,1569789,53235694.4,141019173.17446,0
2025-10-28,2.634,2.6887,2.5675,2.6034,123712287.2,2025-10-28 23:59:59.999,325741633.67731,1554608,59272302.4,156068077.61677,0
2025-10-29,2.6034,2.664,2.537,2.5502,127783090.4,2025-10-29 23:59:59.999,333619686.1261,1601141,59018988.7,154116971.23826,0
2025-10-30,2.5502,2.5944,2.3769,2.4393,151633152.9,2025-10-30 23:59:59.999,377157606.2916,2097584,72002455.0,178931826.52578,0
2025-10-31,2.4393,2.5546,2.4311,2.5097,115609330.7,2025-10-31 23:59:59.999,289080627.19977,1256244,54074782.8,135285375.74321,0
2025-11-01,2.5096,2.5233,2.476,2.5053,41551912.8,2025-11-01 23:59:59.999,103930956.29276,521257,20145083.4,50389915.48432,0
2025-11-02,2.5053,2.5549,2.478,2.5267,51555957.6,2025-11-02 23:59:59.999,129684074.86327,680133,24744525.8,62270461.77139,0
2025-11-03,2.5267,2.5322,2.2631,2.3096,174525470.1,2025-11-03 23:59:59.999,414201479.14369,2091619,84435481.1,200158323.01645,0
